Round,Day,Venue,Result,Home_Goals,Away_Goals,Away_Team,Home_xG,Away_xG,Home_Poss,Home_Shots,Home_SoT,Dist,FK,PK,PKatt,Home_Team,GD,xGD,Home,GF_scaled,GA_scaled,xG_scaled,xGA_scaled,Poss_scaled,Sh_scaled,SoT_scaled,Dist_scaled,FK_scaled,PK_scaled,PKatt_scaled,GD_scaled,xGD_scaled,Round_scaled,Away_Poss,Away_Shots,Away_SoT,Away_xG,Away_xGA
24,Sat,Home,H,2,0,Everton,1.6,0.3,72.0,19.0,3.0,17.4,0.0,0,0,Manchester City,2,1.3,1,0.27098658288680494,-1.232296650645836,0.05583847758869872,-1.4036434234069084,1.6011119017838504,0.8819156279416992,-0.6310522976346686,0.24109648124819671,-0.6228722422076017,-0.3519909265730599,-0.3735895973638391,0.959797958537171,0.9041258473084303,0.4103646773287979,28.0,5.0,1.0,0.3,1.6
25,Sat,Home,D,1,1,Chelsea,2.6,1.4,70.0,31.0,5.0,15.9,1.0,0,0,Manchester City,0,1.2000000000000002,1,-0.4806550338795155,-0.4806550338795155,1.1785168629699345,-0.16869719948754913,1.455556274348955,2.8639438504227974,0.12541417902518667,-0.2844293096178548,1.049858867607866,-0.3519909265730599,-0.3735895973638391,0.0,0.834577705207782,0.5015568278463085,30.0,9.0,6.0,1.4,2.6
18,Tue,Home,H,1,0,Brentford,2.3,0.4,70.0,25.0,10.0,17.6,0.0,0,0,Manchester City,1,1.9,1,-0.4806550338795155,-1.232296650645836,0.8417133473555635,-1.291375584868785,1.455556274348955,1.8729297391822484,2.016580370674825,0.31116658669700464,-0.6228722422076017,-0.3519909265730599,-0.3735895973638391,0.4798989792685855,1.321414699912321,-0.13678822577626595,30.0,6.0,2.0,0.4,2.3
27,Sun,Home,H,3,1,Manchester Utd,3.3,0.2,73.0,27.0,8.0,17.7,1.0,0,0,Manchester City,2,3.0999999999999996,1,1.0226281996531255,-0.4806550338795155,1.9643917327367992,-1.5159112619450321,1.6738897155012982,2.2032677762624315,1.2601138940149696,0.3462016394214074,1.049858867607866,-0.3519909265730599,-0.3735895973638391,0.959797958537171,2.1559924051201027,0.6839411288813297,27.0,21.6,6.4,0.2,3.3
30,Sun,Home,D,0,0,Arsenal,1.0,0.7,72.0,12.0,1.0,14.2,0.0,0,0,Manchester City,0,0.30000000000000004,1,-1.232296650645836,-1.232296650645836,-0.6177685536400428,-0.9545720692544142,1.6011119017838504,-0.27426750183894144,-1.3875187742945239,-0.8800252059327142,-0.6228722422076017,-0.3519909265730599,-0.3735895973638391,0.0,0.2086444263019455,0.9575175804338617,28.0,6.0,2.0,0.7,1.0
31,Wed,Home,H,4,1,Aston Villa,3.4,0.8,67.0,25.0,11.0,15.9,2.0,0,0,Manchester City,3,2.5999999999999996,1,1.774269816419446,-0.4806550338795155,2.0766595712749227,-0.8423042307162905,1.2372228331966117,1.8729297391822484,2.3948136090047525,-0.2844293096178548,2.7225899774233335,-0.3519909265730599,-0.3735895973638391,1.4396969378057565,1.8082516946168603,1.0487097309513724,33.0,20.0,8.8,0.8,3.4
33,Sat,Home,H,5,1,Luton Town,4.2,0.5,73.0,36.0,12.0,16.9,0.0,1,1,Manchester City,4,3.7,1,2.5259114331857666,-0.4806550338795155,2.9748022795799116,-1.1791077463306612,1.6738897155012982,3.6897889431232547,2.77304684733468,0.06592121762617936,-0.6228722422076017,2.434603908796998,2.279943991388663,1.919595917074342,2.573281257723994,1.2310940319863937,27.0,4.0,2.0,0.5,4.2
36,Sat,Home,H,5,1,Wolverhampton Wanderers,3.7,0.3,58.0,18.0,10.0,15.3,0.0,2,2,Manchester City,4,3.4000000000000004,1,2.5259114331857666,-0.4806550338795155,2.413463086889294,-1.4036434234069084,0.582222509739582,0.7167466094016077,2.016580370674825,-0.49463962596427546,-0.6228722422076017,5.221198744167055,4.933477580141165,1.919595917074342,2.3646368314220485,1.5046704835389255,42.0,14.4,8.0,0.3,3.7
38,Sun,Home,H,3,1,West Ham United,1.9,0.4,71.0,28.0,12.0,17.9,2.0,0,0,Manchester City,2,1.5,1,1.0226281996531255,-0.4806550338795155,0.39264199320306925,-1.291375584868785,1.5283340880664027,2.368436794802523,2.77304684733468,0.4162717448702141,2.7225899774233335,-0.3519909265730599,-0.3735895973638391,0.959797958537171,1.0432221315097272,1.6870547845739468,29.0,22.400000000000002,9.600000000000001,0.4,1.9
1,Sat,Home,H,2,1,Nott'ham Forest,0.8,1.2,78.0,15.0,7.0,19.1,0.0,0,0,Arsenal,1,-0.3999999999999999,1,0.27098658288680494,-0.4806550338795155,-0.8423042307162899,-0.39323287656379624,2.037778784088537,0.22123955378133314,0.881880655685042,0.8366923775630568,-0.6228722422076017,-0.3519909265730599,-0.3735895973638391,0.4798989792685855,-0.2781925684025939,-1.6870547845739468,22.0,12.0,5.6000000000000005,1.2,0.8
3,Sat,Home,D,2,2,Fulham,3.2,0.6,71.0,18.0,9.0,13.8,0.0,1,1,Arsenal,0,2.6,1,0.27098658288680494,0.27098658288680494,1.852123894198676,-1.0668399077925377,1.5283340880664027,0.7167466094016077,1.6383471323448973,-1.0201654168303276,-0.6228722422076017,2.434603908796998,2.279943991388663,0.0,1.8082516946168605,-1.5046704835389255,29.0,8.0,3.0,0.6,3.2
4,Sun,Home,H,3,1,Manchester Utd,2.3,0.9,55.0,17.0,5.0,15.0,0.0,0,0,Arsenal,2,1.4,1,1.0226281996531255,-0.4806550338795155,0.8417133473555635,-0.7300363921781668,0.36388906858723874,0.5515775908615161,0.12541417902518667,-0.5997447841374861,-0.6228722422076017,-0.3519909265730599,-0.3735895973638391,0.959797958537171,0.9736739894090787,-1.413478333021415,45.0,13.600000000000001,4.0,0.9,2.3
6,Sun,Home,D,2,2,Tottenham Hotspur,1.8,1.4,47.0,12.0,4.0,16.9,0.0,1,1,Arsenal,0,0.40000000000000013,1,0.27098658288680494,0.27098658288680494,0.2803741546649458,-0.16869719948754913,-0.21833344115234324,-0.27426750183894144,-0.25281905930474097,0.06592121762617936,-0.6228722422076017,2.434603908796998,2.279943991388663,0.0,0.27819256840259404,-1.2310940319863937,53.0,9.600000000000001,3.2,1.4,1.8
8,Sun,Home,H,1,0,Manchester City,0.4,0.5,49.0,12.0,2.0,19.2,0.0,0,0,Arsenal,1,-0.09999999999999998,1,-0.4806550338795155,-1.232296650645836,-1.2913755848687845,-1.1791077463306612,-0.07277781371744775,-0.27426750183894144,-1.0092855359645962,0.8717274302874595,-0.6228722422076017,-0.3519909265730599,-0.3735895973638391,0.4798989792685855,-0.06954814210064847,-1.0487097309513724,51.0,4.0,0.0,0.5,0.4
10,Sat,Home,H,5,0,Sheffield United,2.8,0.0,67.0,12.0,6.0,17.0,0.0,1,1,Arsenal,5,2.8,1,2.5259114331857666,-1.232296650645836,1.4030525400461813,-1.7404469390212791,1.2372228331966117,-0.27426750183894144,0.5036474173551143,0.10095627035058333,-0.6228722422076017,2.434603908796998,2.279943991388663,2.3994948963429277,1.9473479788181574,-0.8663254299163511,33.0,9.600000000000001,4.800000000000001,0.0,2.8
12,Sat,Home,H,3,1,Burnley,1.8,0.3,63.0,16.0,6.0,13.8,0.0,0,0,Arsenal,2,1.5,1,1.0226281996531255,-0.4806550338795155,0.2803741546649458,-1.4036434234069084,0.9461115783268207,0.38640857232142467,0.5036474173551143,-1.0201654168303276,-0.6228722422076017,-0.3519909265730599,-0.3735895973638391,0.959797958537171,1.0432221315097272,-0.6839411288813297,37.0,8.0,5.0,0.3,1.8
